outage_id,start_timestamp,end_timestamp,district,affected_substation,feeder_affected,capacity_affected_mw,customers_affected,outage_type,cause,season
OUT-2021-098,6/7/2021 10:30,6/7/2021 14:05,Prakasam,AP-SS-009,FDR-PKM-019,32.5,8600,Unplanned,Equipment Failure,Summer
OUT-2021-099,8/9/2021 13:15,8/9/2021 23:50,Visakhapatnam,AP-SS-015,FDR-VSP-086,46.7,12500,Unplanned,Weather Related,Monsoon
OUT-2021-100,12/21/2021 9:50,12/21/2021 13:25,Chittoor,AP-SS-003,FDR-CTR-041,28.9,7500,Planned,Maintenance,Winter
OUT-2022-001,1/5/2022 9:20,1/5/2022 15:45,Visakhapatnam,AP-SS-020,FDR-VSP-042,44.6,11900,Planned,Maintenance,Winter
OUT-2022-002,1/11/2022 14:35,1/11/2022 18:10,Krishna,AP-SS-007,FDR-KRI-051,36.8,9800,Unplanned,Equipment Failure,Winter
OUT-2022-003,1/16/2022 10:50,1/16/2022 14:25,Guntur,AP-SS-005,FDR-GNT-067,30.3,8000,Unplanned,Transmission Line Fault,Winter
OUT-2022-004,1/22/2022 8:15,1/22/2022 12:50,East Godavari,AP-SS-036,FDR-EG-029,34.9,9200,Planned,Upgradation,Winter
OUT-2022-005,1/28/2022 13:40,1/28/2022 17:15,Nellore,AP-SS-008,FDR-NLR-043,28.5,7500,Unplanned,Equipment Failure,Winter
OUT-2022-006,2/3/2022 11:25,2/3/2022 15:00,Visakhapatnam,AP-SS-023,FDR-VSP-075,47.1,12600,Unplanned,Overload,Winter
OUT-2022-007,2/9/2022 7:50,2/9/2022 14:25,Kurnool,AP-SS-025,FDR-KNL-061,33.4,8800,Planned,Maintenance,Winter
OUT-2022-008,2/14/2022 15:05,2/14/2022 18:40,Chittoor,AP-SS-003,FDR-CTR-019,25.7,6700,Unplanned,Equipment Failure,Winter
OUT-2022-009,2/20/2022 9:30,2/20/2022 14:05,Krishna,AP-SS-021,FDR-KRI-078,39.2,10400,Unplanned,Transmission Line Fault,Winter
OUT-2022-010,2/25/2022 12:15,2/25/2022 15:50,Anantapur,AP-SS-033,FDR-ATP-032,27.3,7200,Planned,Upgradation,Winter
OUT-2022-011,3/4/2022 14:40,3/4/2022 20:15,Visakhapatnam,AP-SS-020,FDR-VSP-089,48.5,13000,Unplanned,Equipment Failure,Summer
OUT-2022-012,3/10/2022 8:25,3/10/2022 13:00,Guntur,AP-SS-032,FDR-GNT-026,35.6,9400,Unplanned,Overload,Summer
OUT-2022-013,3/15/2022 11:50,3/15/2022 18:25,East Godavari,AP-SS-027,FDR-EG-055,40.8,10900,Planned,Maintenance,Summer
OUT-2022-014,3/21/2022 13:15,3/21/2022 18:50,Krishna,AP-SS-007,FDR-KRI-013,37.4,9900,Unplanned,Equipment Failure,Summer
OUT-2022-015,3/26/2022 10:40,3/26/2022 16:15,West Godavari,AP-SS-028,FDR-WG-047,39.7,10600,Unplanned,Transmission Line Fault,Summer
OUT-2022-016,4/1/2022 7:30,4/1/2022 15:05,Visakhapatnam,AP-SS-037,FDR-VSP-031,43.2,11500,Planned,Upgradation,Summer
OUT-2022-017,4/7/2022 14:45,4/7/2022 20:20,Kadapa,AP-SS-024,FDR-KDP-049,31.5,8300,Unplanned,Equipment Failure,Summer
OUT-2022-018,4/12/2022 9:10,4/12/2022 14:45,Nellore,AP-SS-035,FDR-NLR-035,29.6,7800,Unplanned,Overload,Summer
OUT-2022-019,4/18/2022 12:35,4/18/2022 16:10,Krishna,AP-SS-021,FDR-KRI-064,42.3,11300,Unplanned,Equipment Failure,Summer
OUT-2022-020,4/23/2022 15:50,4/23/2022 21:25,Visakhapatnam,AP-SS-020,FDR-VSP-057,49.2,13200,Planned,Maintenance,Summer
OUT-2022-021,4/29/2022 10:15,4/29/2022 15:50,Guntur,AP-SS-005,FDR-GNT-082,38.5,10200,Unplanned,Transmission Line Fault,Summer
OUT-2022-022,5/5/2022 8:40,5/5/2022 13:15,East Godavari,AP-SS-036,FDR-EG-043,36.2,9600,Unplanned,Equipment Failure,Summer
OUT-2022-023,5/10/2022 13:05,5/10/2022 18:40,Kurnool,AP-SS-034,FDR-KNL-027,31.9,8400,Unplanned,Overload,Summer
OUT-2022-024,5/16/2022 11:30,5/16/2022 17:05,Visakhapatnam,AP-SS-023,FDR-VSP-098,46.5,12400,Planned,Upgradation,Summer
OUT-2022-025,5/21/2022 15:15,5/21/2022 18:50,Krishna,AP-SS-007,FDR-KRI-041,39.6,10500,Unplanned,Equipment Failure,Summer
OUT-2022-026,5/27/2022 9:40,5/27/2022 15:15,Anantapur,AP-SS-017,FDR-ATP-056,28.1,7300,Unplanned,Transmission Line Fault,Summer
OUT-2022-027,6/2/2022 12:25,6/2/2022 17:00,West Godavari,AP-SS-011,FDR-WG-031,40.2,10700,Unplanned,Equipment Failure,Summer
OUT-2022-028,6/8/2022 8:50,6/8/2022 16:25,Visakhapatnam,AP-SS-020,FDR-VSP-016,49.7,13300,Planned,Maintenance,Summer
OUT-2022-029,6/13/2022 14:15,6/13/2022 19:50,Chittoor,AP-SS-022,FDR-CTR-048,27.4,7200,Unplanned,Overload,Summer
OUT-2022-030,6/19/2022 10:30,6/19/2022 15:05,Guntur,AP-SS-032,FDR-GNT-073,37.1,9800,Unplanned,Equipment Failure,Summer
OUT-2022-031,6/24/2022 13:55,6/24/2022 19:30,Krishna,AP-SS-021,FDR-KRI-029,43.5,11600,Unplanned,Transmission Line Fault,Summer
OUT-2022-032,6/30/2022 7:20,6/30/2022 12:55,East Godavari,AP-SS-027,FDR-EG-057,39.4,10500,Unplanned,Equipment Failure,Summer
OUT-2022-033,7/5/2022 11:45,7/5/2022 22:20,Visakhapatnam,AP-SS-023,FDR-VSP-084,48.1,12900,Unplanned,Weather Related,Monsoon
OUT-2022-034,7/11/2022 9:10,7/11/2022 19:45,Srikakulam,AP-SS-029,FDR-SKM-045,35.3,9300,Unplanned,Weather Related,Monsoon
OUT-2022-035,7/16/2022 15:35,7/16/2022 22:10,Krishna,AP-SS-007,FDR-KRI-062,41.2,11000,Unplanned,Equipment Failure,Monsoon
OUT-2022-036,7/22/2022 8:25,7/22/2022 16:00,Nellore,AP-SS-008,FDR-NLR-017,33.8,8900,Planned,Maintenance,Monsoon
OUT-2022-037,7/27/2022 13:50,7/28/2022 2:25,Visakhapatnam,AP-SS-020,FDR-VSP-036,51.3,13700,Unplanned,Weather Related,Monsoon
OUT-2022-038,8/2/2022 10:15,8/2/2022 15:50,Guntur,AP-SS-005,FDR-GNT-049,38.3,10200,Unplanned,Equipment Failure,Monsoon
OUT-2022-039,8/8/2022 7:40,8/8/2022 18:15,East Godavari,AP-SS-036,FDR-EG-024,43.6,11600,Unplanned,Weather Related,Monsoon
OUT-2022-040,8/13/2022 12:05,8/13/2022 17:40,West Godavari,AP-SS-011,FDR-WG-052,37.5,9900,Unplanned,Transmission Line Fault,Monsoon
OUT-2022-041,8/19/2022 15:30,8/19/2022 22:05,Visakhapatnam,AP-SS-037,FDR-VSP-065,44.7,11900,Unplanned,Weather Related,Monsoon
OUT-2022-042,8/24/2022 9:55,8/24/2022 16:30,Krishna,AP-SS-021,FDR-KRI-038,45.4,12100,Planned,Upgradation,Monsoon
OUT-2022-043,8/30/2022 11:20,8/30/2022 16:55,Kadapa,AP-SS-039,FDR-KDP-041,30.2,7900,Unplanned,Equipment Failure,Monsoon
OUT-2022-044,9/4/2022 14:45,9/5/2022 3:20,Visakhapatnam,AP-SS-020,FDR-VSP-093,53.1,14300,Unplanned,Weather Related,Monsoon
OUT-2022-045,9/10/2022 8:30,9/10/2022 14:05,Anantapur,AP-SS-033,FDR-ATP-017,29.5,7700,Unplanned,Overload,Monsoon
OUT-2022-046,9/15/2022 10:15,9/15/2022 16:50,Guntur,AP-SS-032,FDR-GNT-058,39.8,10600,Planned,Maintenance,Monsoon
OUT-2022-047,9/21/2022 13:40,9/21/2022 20:15,Krishna,AP-SS-007,FDR-KRI-076,40.5,10800,Unplanned,Equipment Failure,Monsoon
OUT-2022-048,9/26/2022 16:05,9/26/2022 23:40,East Godavari,AP-SS-027,FDR-EG-039,42.7,11400,Unplanned,Weather Related,Monsoon
OUT-2022-049,10/2/2022 9:25,10/2/2022 15:00,Visakhapatnam,AP-SS-023,FDR-VSP-071,47.6,12700,Unplanned,Equipment Failure,Monsoon
OUT-2022-050,10/7/2022 12:50,10/7/2022 20:25,Nellore,AP-SS-035,FDR-NLR-062,34.2,9100,Unplanned,Weather Related,Monsoon
OUT-2022-051,10/13/2022 15:15,10/13/2022 20:50,Kurnool,AP-SS-025,FDR-KNL-036,36.8,9800,Unplanned,Transmission Line Fault,Monsoon
OUT-2022-052,10/18/2022 8:40,10/18/2022 16:15,Visakhapatnam,AP-SS-020,FDR-VSP-055,49.3,13200,Planned,Upgradation,Monsoon
OUT-2022-053,10/24/2022 11:25,10/24/2022 19:00,Krishna,AP-SS-021,FDR-KRI-017,43.8,11700,Unplanned,Weather Related,Monsoon
OUT-2022-054,10/29/2022 14:50,10/29/2022 19:25,West Godavari,AP-SS-028,FDR-WG-038,38.9,10300,Unplanned,Equipment Failure,Monsoon
OUT-2022-055,11/4/2022 10:15,11/4/2022 13:50,Visakhapatnam,AP-SS-037,FDR-VSP-024,45.9,12300,Unplanned,Equipment Failure,Winter
OUT-2022-056,11/9/2022 7:35,11/9/2022 11:10,Chittoor,AP-SS-003,FDR-CTR-032,28.1,7300,Planned,Maintenance,Winter
OUT-2022-057,11/15/2022 13:20,11/15/2022 16:55,Guntur,AP-SS-005,FDR-GNT-077,37.2,9900,Unplanned,Transmission Line Fault,Winter
OUT-2022-058,11/20/2022 9:45,11/20/2022 13:20,East Godavari,AP-SS-036,FDR-EG-045,40.6,10800,Unplanned,Equipment Failure,Winter
OUT-2022-059,11/26/2022 15:10,11/26/2022 18:45,Krishna,AP-SS-007,FDR-KRI-059,33.5,8900,Unplanned,Overload,Winter
OUT-2022-060,12/2/2022 11:35,12/2/2022 18:10,Visakhapatnam,AP-SS-020,FDR-VSP-019,47.3,12600,Planned,Upgradation,Winter
OUT-2022-061,12/7/2022 14:20,12/7/2022 17:55,Nellore,AP-SS-008,FDR-NLR-054,30.7,8100,Unplanned,Equipment Failure,Winter
OUT-2022-062,12/13/2022 8:50,12/13/2022 12:25,Anantapur,AP-SS-017,FDR-ATP-028,26.5,6900,Unplanned,Transmission Line Fault,Winter
OUT-2022-063,12/18/2022 10:25,12/18/2022 16:00,Visakhapatnam,AP-SS-023,FDR-VSP-046,45.8,12200,Planned,Maintenance,Winter
OUT-2022-064,12/24/2022 13:40,12/24/2022 17:15,Kurnool,AP-SS-034,FDR-KNL-051,34.6,9200,Unplanned,Equipment Failure,Winter
OUT-2022-065,12/29/2022 9:15,12/29/2022 12:50,Krishna,AP-SS-021,FDR-KRI-081,41.2,11000,Unplanned,Overload,Winter
OUT-2022-066,1/19/2022 12:30,1/19/2022 16:05,Vizianagaram,AP-SS-030,FDR-VZM-039,27.5,7200,Unplanned,Equipment Failure,Winter
OUT-2022-067,2/17/2022 8:45,2/17/2022 15:20,Prakasam,AP-SS-009,FDR-PKM-023,35.1,9300,Planned,Maintenance,Winter
OUT-2022-068,3/24/2022 15:10,3/24/2022 20:45,West Godavari,AP-SS-011,FDR-WG-067,41.3,11000,Unplanned,Transmission Line Fault,Summer
OUT-2022-069,4/21/2022 11:25,4/21/2022 16:00,East Godavari,AP-SS-036,FDR-EG-013,39.5,10500,Unplanned,Equipment Failure,Summer
OUT-2022-070,5/25/2022 9:50,5/25/2022 17:25,Visakhapatnam,AP-SS-020,FDR-VSP-082,50.6,13600,Planned,Upgradation,Summer
OUT-2022-071,6/22/2022 14:15,6/22/2022 19:50,Krishna,AP-SS-007,FDR-KRI-044,44.7,11900,Unplanned,Overload,Summer
OUT-2022-072,7/19/2022 10:40,7/19/2022 22:15,Guntur,AP-SS-032,FDR-GNT-037,40.1,10700,Unplanned,Weather Related,Monsoon
OUT-2022-073,8/23/2022 7:55,8/23/2022 18:30,Nellore,AP-SS-035,FDR-NLR-026,32.4,8600,Unplanned,Weather Related,Monsoon
OUT-2022-074,9/20/2022 13:30,9/20/2022 18:05,Kadapa,AP-SS-039,FDR-KDP-035,29.8,7800,Planned,Maintenance,Monsoon
OUT-2022-075,10/17/2022 9:45,10/17/2022 18:20,Krishna,AP-SS-021,FDR-KRI-072,42.5,11300,Unplanned,Equipment Failure,Monsoon
OUT-2022-076,11/22/2022 15:05,11/22/2022 18:40,Anantapur,AP-SS-033,FDR-ATP-043,28.7,7500,Unplanned,Transmission Line Fault,Winter
OUT-2022-077,12/19/2022 11:35,12/19/2022 15:10,Visakhapatnam,AP-SS-037,FDR-VSP-061,44.2,11800,Unplanned,Equipment Failure,Winter
OUT-2022-078,1/25/2022 14:20,1/25/2022 17:55,Chittoor,AP-SS-022,FDR-CTR-016,31.4,8300,Unplanned,Equipment Failure,Winter
OUT-2022-079,2/27/2022 10:55,2/27/2022 16:30,East Godavari,AP-SS-027,FDR-EG-066,42.1,11200,Planned,Maintenance,Winter
OUT-2022-080,3/29/2022 16:30,3/29/2022 22:05,Visakhapatnam,AP-SS-020,FDR-VSP-028,46.4,12400,Unplanned,Overload,Summer
OUT-2022-081,4/26/2022 9:25,4/26/2022 14:00,Kurnool,AP-SS-025,FDR-KNL-055,33.8,8900,Unplanned,Equipment Failure,Summer
OUT-2022-082,5/28/2022 12:10,5/28/2022 19:45,Krishna,AP-SS-007,FDR-KRI-022,39.4,10500,Planned,Upgradation,Summer
OUT-2022-083,6/25/2022 8:35,6/25/2022 14:10,Guntur,AP-SS-005,FDR-GNT-068,36.3,9600,Unplanned,Equipment Failure,Summer
OUT-2022-084,7/23/2022 15:50,7/24/2022 4:25,East Godavari,AP-SS-036,FDR-EG-051,48.7,13000,Unplanned,Weather Related,Monsoon
OUT-2022-085,8/27/2022 11:15,8/27/2022 20:50,Visakhapatnam,AP-SS-023,FDR-VSP-079,52.5,14100,Unplanned,Weather Related,Monsoon
OUT-2022-086,9/24/2022 9:40,9/24/2022 15:15,Nellore,AP-SS-008,FDR-NLR-047,34.8,9200,Unplanned,Equipment Failure,Monsoon
OUT-2022-087,10/22/2022 14:05,10/22/2022 21:40,Krishna,AP-SS-021,FDR-KRI-033,43.4,11600,Unplanned,Weather Related,Monsoon
OUT-2022-088,11/23/2022 10:30,11/23/2022 17:05,West Godavari,AP-SS-028,FDR-WG-043,37.6,10000,Planned,Maintenance,Winter
OUT-2022-089,12/17/2022 16:45,12/17/2022 20:20,Kadapa,AP-SS-024,FDR-KDP-048,30.2,7900,Unplanned,Equipment Failure,Winter
OUT-2022-090,1/14/2022 13:35,1/14/2022 17:10,Visakhapatnam,AP-SS-037,FDR-VSP-092,41.7,11100,Unplanned,Transmission Line Fault,Winter
OUT-2022-091,3/14/2022 14:50,3/14/2022 18:25,Anantapur,AP-SS-017,FDR-ATP-031,32.3,8500,Unplanned,Equipment Failure,Summer
OUT-2022-092,5/14/2022 9:15,5/14/2022 14:50,Guntur,AP-SS-032,FDR-GNT-054,39.7,10600,Unplanned,Overload,Summer
OUT-2022-093,7/14/2022 11:40,7/14/2022 21:15,Krishna,AP-SS-007,FDR-KRI-063,45.3,12100,Unplanned,Weather Related,Monsoon
OUT-2022-094,9/14/2022 14:15,9/14/2022 19:50,East Godavari,AP-SS-027,FDR-EG-021,40.9,10900,Unplanned,Equipment Failure,Monsoon
OUT-2022-095,11/14/2022 12:45,11/14/2022 16:20,Visakhapatnam,AP-SS-020,FDR-VSP-037,46.8,12500,Planned,Maintenance,Winter
OUT-2022-096,2/5/2022 8:25,2/5/2022 12:00,Vizianagaram,AP-SS-030,FDR-VZM-019,26.3,6800,Unplanned,Equipment Failure,Winter
OUT-2022-097,4/5/2022 15:35,4/5/2022 21:10,Srikakulam,AP-SS-029,FDR-SKM-059,31.8,8400,Unplanned,Transmission Line Fault,Summer
OUT-2022-098,6/5/2022 10:20,6/5/2022 13:55,Prakasam,AP-SS-009,FDR-PKM-027,33.4,8900,Unplanned,Equipment Failure,Summer
OUT-2022-099,8/5/2022 13:45,8/6/2022 0:20,Visakhapatnam,AP-SS-015,FDR-VSP-043,47.6,12700,Unplanned,Weather Related,Monsoon
OUT-2022-100,12/5/2022 9:10,12/5/2022 12:45,Chittoor,AP-SS-003,FDR-CTR-053,29.5,7700,Planned,Maintenance,Winter
OUT-2023-001,1/6/2023 9:15,1/6/2023 15:40,Visakhapatnam,AP-SS-020,FDR-VSP-025,45.2,12100,Planned,Maintenance,Winter
OUT-2023-002,1/11/2023 14:30,1/11/2023 18:05,Krishna,AP-SS-007,FDR-KRI-056,37.4,9900,Unplanned,Equipment Failure,Winter
OUT-2023-003,1/17/2023 10:45,1/17/2023 14:20,Guntur,AP-SS-005,FDR-GNT-038,31.6,8300,Unplanned,Transmission Line Fault,Winter
OUT-2023-004,1/22/2023 8:20,1/22/2023 12:55,East Godavari,AP-SS-036,FDR-EG-062,35.8,9500,Planned,Upgradation,Winter
OUT-2023-005,1/28/2023 13:35,1/28/2023 17:10,Nellore,AP-SS-008,FDR-NLR-031,29.2,7700,Unplanned,Equipment Failure,Winter
OUT-2023-006,2/3/2023 11:20,2/3/2023 14:55,Visakhapatnam,AP-SS-023,FDR-VSP-073,47.8,12800,Unplanned,Overload,Winter
OUT-2023-007,2/9/2023 7:55,2/9/2023 14:30,Kurnool,AP-SS-025,FDR-KNL-042,34.5,9100,Planned,Maintenance,Winter
OUT-2023-008,2/14/2023 15:10,2/14/2023 18:45,Chittoor,AP-SS-003,FDR-CTR-023,26.7,7000,Unplanned,Equipment Failure,Winter
OUT-2023-009,2/20/2023 9:35,2/20/2023 14:10,Krishna,AP-SS-021,FDR-KRI-067,39.8,10600,Unplanned,Transmission Line Fault,Winter
OUT-2023-010,2/25/2023 12:25,2/25/2023 16:00,Anantapur,AP-SS-033,FDR-ATP-049,28.4,7400,Planned,Upgradation,Winter
OUT-2023-011,3/4/2023 14:45,3/4/2023 20:20,Visakhapatnam,AP-SS-020,FDR-VSP-059,49.3,13200,Unplanned,Equipment Failure,Summer
OUT-2023-012,3/10/2023 8:30,3/10/2023 13:05,Guntur,AP-SS-032,FDR-GNT-083,36.5,9700,Unplanned,Overload,Summer
OUT-2023-013,3/15/2023 11:55,3/15/2023 18:30,East Godavari,AP-SS-027,FDR-EG-035,41.7,11100,Planned,Maintenance,Summer
OUT-2023-014,3/21/2023 13:20,3/21/2023 18:55,Krishna,AP-SS-007,FDR-KRI-021,38.3,10200,Unplanned,Equipment Failure,Summer
OUT-2023-015,3/26/2023 10:45,3/26/2023 16:20,West Godavari,AP-SS-028,FDR-WG-059,40.5,10800,Unplanned,Transmission Line Fault,Summer
OUT-2023-016,4/1/2023 7:35,4/1/2023 15:10,Visakhapatnam,AP-SS-037,FDR-VSP-018,44.6,11900,Planned,Upgradation,Summer
OUT-2023-017,4/7/2023 14:50,4/7/2023 20:25,Kadapa,AP-SS-024,FDR-KDP-045,32.2,8500,Unplanned,Equipment Failure,Summer
OUT-2023-018,4/12/2023 9:15,4/12/2023 14:50,Nellore,AP-SS-035,FDR-NLR-053,30.4,8000,Unplanned,Overload,Summer
OUT-2023-019,4/18/2023 12:40,4/18/2023 16:15,Krishna,AP-SS-021,FDR-KRI-077,43.1,11500,Unplanned,Equipment Failure,Summer
OUT-2023-020,4/23/2023 15:55,4/23/2023 21:30,Visakhapatnam,AP-SS-020,FDR-VSP-096,49.8,13300,Planned,Maintenance,Summer
OUT-2023-021,4/29/2023 10:20,4/29/2023 15:55,Guntur,AP-SS-005,FDR-GNT-029,39.2,10400,Unplanned,Transmission Line Fault,Summer
OUT-2023-022,5/5/2023 8:45,5/5/2023 13:20,East Godavari,AP-SS-036,FDR-EG-068,37.6,10000,Unplanned,Equipment Failure,Summer
OUT-2023-023,5/10/2023 13:10,5/10/2023 18:45,Kurnool,AP-SS-034,FDR-KNL-033,32.5,8600,Unplanned,Overload,Summer
